Time,Mean,Lower,Upper,Threshold
-2.00,3569.11,3512.20,3621.95,
-1.00,3573.17,3520.33,3626.02,
0.00,3577.24,3524.39,3626.02,
1.00,3593.50,3540.65,3646.34,
2.00,3638.21,3581.30,3686.99,
3.00,3646.34,3601.63,3695.12,
4.00,3678.86,3626.02,3735.77,
5.00,3654.47,3597.56,3715.45,
6.00,3658.54,3609.76,3707.32,
7.00,3678.86,3638.21,3723.58,
8.00,3670.73,3626.02,3715.45,
9.00,3682.93,3634.15,3731.71,
10.00,3658.54,3617.89,3699.19,
11.00,3662.60,3617.89,3711.38,
12.00,3674.80,3634.15,3715.45,
13.00,3662.60,3621.95,3703.25,3654.47
14.00,3646.34,3597.56,3695.12,3642.28
15.00,3609.76,3556.91,3654.47,3642.28
16.00,3569.11,3520.33,3621.95,3597.56
17.00,3536.59,3487.80,3585.37,3569.11
